id,ids,url,source,localPath,status,format,width,height,blackRatio,whiteRatio,grayRatio,hsvSaturationOverThresholdRatio,rgbSaturationOverThresholdRatio,rgbNonGrayRatio,decodedRgbSha256,issues,error
page-ancient-mythology-50,page-ancient-mythology-50,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_in_ruins.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-51,page-ancient-mythology-51,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Pegasus_statue_in_ancient_ruins_1788268595462.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-52,page-ancient-mythology-52,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Warrior_in_armor_1788560205261.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-53,page-ancient-mythology-53,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Winged_Bearded_Figure_Holding_Spear_1788560157191.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-54,page-ancient-mythology-54,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Winged_Horse_1788560100510.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-55,page-ancient-mythology-55,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Winged_Horse_with_Gun.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-56,page-ancient-mythology-56,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Winged_Horse_with_Gun_1788560214912.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-57,page-ancient-mythology-57,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Winged_Warrior_1788560176201.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-ancient-mythology-58,page-ancient-mythology-58,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Ancient%20Mythology/Zeus_in_the_Colosseum_1788560137938.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-1,page-animal-crossing-1,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing_Adventure.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-2,page-animal-crossing-2,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing_Town_Hall_Service_Desk.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-3,page-animal-crossing-3,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415499630.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-4,page-animal-crossing-4,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415508440.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
page-animal-crossing-5,page-animal-crossing-5,https://colorvaults.ams3.cdn.digitaloceanspaces.com/Animal%20Crossing/Animal_Crossing__A_clean_printable_color_1788415517509.webp,unavailable,,unavailable,,,,,,,,,,,unavailable,
